issue_month,grade,purpose,total_cnt,bad_rate
2015-01-01,A,car,47,6.382978723404255
2015-01-01,A,credit_card,2173,5.476300046019328
2015-01-01,A,debt_consolidation,3330,5.225225225225225
2015-01-01,A,home_improvement,274,4.37956204379562
2015-01-01,A,major_purchase,91,4.395604395604396
2015-01-01,A,other,86,5.813953488372093
2015-01-01,B,car,63,6.349206349206349
2015-01-01,B,credit_card,2648,12.197885196374623
2015-01-01,B,debt_consolidation,5499,13.129659938170576
2015-01-01,B,home_improvement,410,10.731707317073171
2015-01-01,B,major_purchase,125,12.0
2015-01-01,B,medical,46,8.695652173913043
2015-01-01,B,other,285,8.070175438596491
2015-01-01,B,vacation,31,9.67741935483871
2015-01-01,C,car,63,9.523809523809524
2015-01-01,C,credit_card,1937,21.06350025813113
2015-01-01,C,debt_consolidation,6603,19.157958503710436
2015-01-01,C,home_improvement,417,17.26618705035971
2015-01-01,C,major_purchase,132,19.696969696969695
2015-01-01,C,medical,105,19.047619047619047
2015-01-01,C,moving,63,14.285714285714285
2015-01-01,C,other,498,15.863453815261044
2015-01-01,C,small_business,72,13.88888888888889
2015-01-01,C,vacation,57,14.035087719298245
2015-01-01,D,credit_card,781,29.321382842509603
2015-01-01,D,debt_consolidation,4126,26.90256907416384
2015-01-01,D,home_improvement,258,29.457364341085274
2015-01-01,D,house,34,11.76470588235294
2015-01-01,D,major_purchase,87,33.33333333333333
2015-01-01,D,medical,67,23.88059701492537
2015-01-01,D,moving,53,22.641509433962266
2015-01-01,D,other,367,23.705722070844686
2015-01-01,D,small_business,80,28.749999999999996
2015-01-01,D,vacation,40,22.5
2015-01-01,E,credit_card,339,32.743362831858406
2015-01-01,E,debt_consolidation,2028,35.84812623274162
2015-01-01,E,home_improvement,153,31.372549019607842
2015-01-01,E,major_purchase,50,34.0
2015-01-01,E,other,179,34.63687150837989
2015-01-01,E,small_business,58,36.206896551724135
2015-01-01,F,credit_card,68,35.294117647058826
2015-01-01,F,debt_consolidation,602,42.857142857142854
2015-01-01,F,home_improvement,54,42.592592592592595
2015-01-01,F,other,58,39.6551724137931
2015-01-01,G,debt_consolidation,161,47.20496894409938
2015-02-01,A,car,46,4.3478260869565215
2015-02-01,A,credit_card,1633,5.695039804041642
2015-02-01,A,debt_consolidation,2306,5.85429314830876
2015-02-01,A,home_improvement,226,4.867256637168142
2015-02-01,A,major_purchase,72,2.7777777777777777
2015-02-01,A,other,73,4.10958904109589
2015-02-01,B,car,62,12.903225806451612
2015-02-01,B,credit_card,1878,11.022364217252397
2015-02-01,B,debt_consolidation,3743,11.995725353994123
2015-02-01,B,home_improvement,284,10.915492957746478
2015-02-01,B,major_purchase,78,16.666666666666664
2015-02-01,B,medical,35,5.714285714285714
2015-02-01,B,other,182,8.241758241758241
2015-02-01,C,car,52,26.923076923076923
2015-02-01,C,credit_card,1376,18.459302325581394
2015-02-01,C,debt_consolidation,4298,19.14844113541182
2015-02-01,C,home_improvement,310,12.580645161290322
2015-02-01,C,major_purchase,115,13.043478260869565
2015-02-01,C,medical,63,17.46031746031746
2015-02-01,C,moving,48,6.25
2015-02-01,C,other,319,15.673981191222571
2015-02-01,C,small_business,51,23.52941176470588
2015-02-01,C,vacation,54,12.962962962962962
2015-02-01,D,credit_card,542,29.88929889298893
2015-02-01,D,debt_consolidation,2509,27.580709445994422
2015-02-01,D,home_improvement,155,28.387096774193548
2015-02-01,D,major_purchase,69,21.73913043478261
2015-02-01,D,medical,41,26.82926829268293
2015-02-01,D,moving,39,30.76923076923077
2015-02-01,D,other,226,21.238938053097346
2015-02-01,D,small_business,80,26.25
2015-02-01,E,credit_card,213,34.27230046948357
2015-02-01,E,debt_consolidation,1398,34.26323319027182
2015-02-01,E,home_improvement,108,32.407407407407405
2015-02-01,E,major_purchase,32,34.375
2015-02-01,E,other,118,28.8135593220339
2015-02-01,E,small_business,58,32.758620689655174
2015-02-01,F,credit_card,44,45.45454545454545
2015-02-01,F,debt_consolidation,330,43.63636363636363
2015-02-01,F,home_improvement,32,31.25
2015-02-01,F,other,31,45.16129032258064
2015-02-01,G,debt_consolidation,92,55.434782608695656
2015-03-01,A,car,48,12.5
2015-03-01,A,credit_card,1634,5.997552019583844
2015-03-01,A,debt_consolidation,2111,7.010895310279489
2015-03-01,A,home_improvement,261,3.8314176245210727
2015-03-01,A,major_purchase,77,3.896103896103896
2015-03-01,A,other,77,3.896103896103896
2015-03-01,B,car,60,5.0
2015-03-01,B,credit_card,1998,12.762762762762764
2015-03-01,B,debt_consolidation,3979,11.384770042724304
2015-03-01,B,home_improvement,379,10.29023746701847
2015-03-01,B,major_purchase,128,10.9375
2015-03-01,B,medical,53,11.320754716981133
2015-03-01,B,other,236,10.16949152542373
2015-03-01,C,car,61,24.59016393442623
2015-03-01,C,credit_card,1512,21.164021164021165
2015-03-01,C,debt_consolidation,4613,20.18209408194234
2015-03-01,C,home_improvement,425,19.52941176470588
2015-03-01,C,major_purchase,117,20.51282051282051
2015-03-01,C,medical,73,32.87671232876712
2015-03-01,C,moving,48,22.916666666666664
2015-03-01,C,other,394,16.49746192893401
2015-03-01,C,small_business,65,24.615384615384617
2015-03-01,C,vacation,55,18.181818181818183
2015-03-01,D,credit_card,591,30.456852791878177
2015-03-01,D,debt_consolidation,2621,29.835940480732543
2015-03-01,D,home_improvement,239,25.94142259414226
2015-03-01,D,major_purchase,65,24.615384615384617
2015-03-01,D,medical,55,32.72727272727273
2015-03-01,D,moving,39,20.51282051282051
2015-03-01,D,other,260,20.0
2015-03-01,D,small_business,59,28.8135593220339
2015-03-01,E,credit_card,223,31.838565022421523
2015-03-01,E,debt_consolidation,1478,36.129905277401896
2015-03-01,E,home_improvement,131,22.137404580152673
2015-03-01,E,other,148,32.432432432432435
2015-03-01,E,small_business,48,27.083333333333332
2015-03-01,F,credit_card,44,43.18181818181818
2015-03-01,F,debt_consolidation,424,45.28301886792453
2015-03-01,F,home_improvement,38,36.84210526315789
2015-03-01,F,other,30,46.666666666666664
2015-03-01,G,debt_consolidation,82,39.02439024390244
2015-04-01,A,car,72,5.555555555555555
2015-04-01,A,credit_card,2171,6.310456011054813
2015-04-01,A,debt_consolidation,3198,6.035021888680426
2015-04-01,A,home_improvement,439,5.239179954441914
2015-04-01,A,major_purchase,120,7.5
2015-04-01,A,other,123,6.504065040650407
2015-04-01,B,car,76,13.157894736842104
2015-04-01,B,credit_card,2586,12.37432327919567
2015-04-01,B,debt_consolidation,5462,12.486268766019773
2015-04-01,B,home_improvement,606,11.221122112211221
2015-04-01,B,major_purchase,156,11.538461538461538
2015-04-01,B,medical,69,10.144927536231885
2015-04-01,B,other,317,10.094637223974763
2015-04-01,B,vacation,43,13.953488372093023
2015-04-01,C,car,85,20.0
2015-04-01,C,credit_card,1998,22.07207207207207
2015-04-01,C,debt_consolidation,6317,19.53458920373595
2015-04-01,C,home_improvement,618,18.284789644012946
2015-04-01,C,major_purchase,162,14.19753086419753
2015-04-01,C,medical,116,18.96551724137931
2015-04-01,C,moving,82,18.29268292682927
2015-04-01,C,other,572,15.734265734265735
2015-04-01,C,small_business,63,20.634920634920633
2015-04-01,C,vacation,64,18.75
2015-04-01,D,car,43,25.581395348837212
2015-04-01,D,credit_card,759,28.19499341238472
2015-04-01,D,debt_consolidation,3674,27.925966249319544
2015-04-01,D,home_improvement,329,27.0516717325228
2015-04-01,D,house,35,14.285714285714285
2015-04-01,D,major_purchase,92,31.521739130434785
2015-04-01,D,medical,52,26.923076923076923
2015-04-01,D,moving,73,30.136986301369863
2015-04-01,D,other,369,22.22222222222222
2015-04-01,D,small_business,80,27.500000000000004
2015-04-01,D,vacation,48,16.666666666666664
2015-04-01,E,credit_card,321,38.31775700934579
2015-04-01,E,debt_consolidation,2176,32.44485294117647
2015-04-01,E,home_improvement,225,30.666666666666664
2015-04-01,E,major_purchase,60,23.333333333333332
2015-04-01,E,medical,33,21.21212121212121
2015-04-01,E,other,184,30.978260869565215
2015-04-01,E,small_business,77,27.27272727272727
2015-04-01,F,credit_card,56,39.285714285714285
2015-04-01,F,debt_consolidation,581,44.23407917383821
2015-04-01,F,home_improvement,71,28.169014084507044
2015-04-01,F,other,67,37.3134328358209
2015-04-01,G,debt_consolidation,112,53.57142857142857
2015-05-01,A,car,50,0.0
2015-05-01,A,credit_card,2314,5.358686257562662
2015-05-01,A,debt_consolidation,3002,5.7295136575616255
2015-05-01,A,home_improvement,356,6.741573033707865
2015-05-01,A,major_purchase,90,5.555555555555555
2015-05-01,A,other,80,3.75
2015-05-01,B,car,60,10.0
2015-05-01,B,credit_card,2293,12.734409071085913
2015-05-01,B,debt_consolidation,4777,13.12539250575675
2015-05-01,B,home_improvement,481,11.85031185031185
2015-05-01,B,major_purchase,138,10.144927536231885
2015-05-01,B,medical,70,12.857142857142856
2015-05-01,B,other,234,11.11111111111111
2015-05-01,B,vacation,41,19.51219512195122
2015-05-01,C,car,78,12.82051282051282
2015-05-01,C,credit_card,1706,20.691676436107855
2015-05-01,C,debt_consolidation,5817,19.06481003953928
2015-05-01,C,home_improvement,548,16.970802919708028
2015-05-01,C,house,31,16.129032258064516
2015-05-01,C,major_purchase,144,18.75
2015-05-01,C,medical,95,27.368421052631582
2015-05-01,C,moving,60,6.666666666666667
2015-05-01,C,other,415,18.795180722891565
2015-05-01,C,vacation,73,13.698630136986301
2015-05-01,D,credit_card,636,33.17610062893082
2015-05-01,D,debt_consolidation,3301,27.082702211451075
2015-05-01,D,home_improvement,261,27.969348659003828
2015-05-01,D,house,34,20.588235294117645
2015-05-01,D,major_purchase,87,31.03448275862069
2015-05-01,D,medical,57,21.052631578947366
2015-05-01,D,moving,61,26.229508196721312
2015-05-01,D,other,281,30.604982206405694
2015-05-01,D,small_business,74,22.972972972972975
2015-05-01,D,vacation,42,30.952380952380953
2015-05-01,E,credit_card,333,33.933933933933936
2015-05-01,E,debt_consolidation,2008,33.764940239043824
2015-05-01,E,home_improvement,184,34.23913043478261
2015-05-01,E,house,33,18.181818181818183
2015-05-01,E,major_purchase,35,34.285714285714285
2015-05-01,E,medical,30,26.666666666666668
2015-05-01,E,moving,32,25.0
2015-05-01,E,other,174,36.206896551724135
2015-05-01,E,small_business,47,25.53191489361702
2015-05-01,F,credit_card,59,40.67796610169492
2015-05-01,F,debt_consolidation,624,43.58974358974359
2015-05-01,F,home_improvement,56,41.07142857142857
2015-05-01,F,other,56,48.214285714285715
2015-05-01,G,debt_consolidation,125,45.6
2015-06-01,A,car,64,7.8125
2015-06-01,A,credit_card,1895,5.171503957783641
2015-06-01,A,debt_consolidation,2584,6.424148606811146
2015-06-01,A,home_improvement,324,4.62962962962963
2015-06-01,A,major_purchase,87,5.747126436781609
2015-06-01,A,other,76,3.9473684210526314
2015-06-01,B,car,72,11.11111111111111
2015-06-01,B,credit_card,2087,12.2184954480115
2015-06-01,B,debt_consolidation,4294,12.133209129017233
2015-06-01,B,home_improvement,481,9.771309771309772
2015-06-01,B,major_purchase,126,14.285714285714285
2015-06-01,B,medical,44,6.8181818181818175
2015-06-01,B,other,208,11.057692307692307
2015-06-01,B,vacation,35,5.714285714285714
2015-06-01,C,car,65,7.6923076923076925
2015-06-01,C,credit_card,1554,19.626769626769626
2015-06-01,C,debt_consolidation,5165,19.864472410454987
2015-06-01,C,home_improvement,436,14.678899082568808
2015-06-01,C,major_purchase,129,18.6046511627907
2015-06-01,C,medical,75,20.0
2015-06-01,C,moving,66,18.181818181818183
2015-06-01,C,other,391,19.18158567774936
2015-06-01,C,small_business,65,15.384615384615385
2015-06-01,C,vacation,67,17.91044776119403
2015-06-01,D,credit_card,578,26.81660899653979
2015-06-01,D,debt_consolidation,2928,28.722677595628415
2015-06-01,D,home_improvement,244,20.491803278688526
2015-06-01,D,major_purchase,65,32.30769230769231
2015-06-01,D,medical,42,14.285714285714285
2015-06-01,D,moving,60,35.0
2015-06-01,D,other,294,26.53061224489796
2015-06-01,D,small_business,52,36.53846153846153
2015-06-01,D,vacation,38,18.421052631578945
2015-06-01,E,credit_card,292,36.986301369863014
2015-06-01,E,debt_consolidation,1834,35.986913849509264
2015-06-01,E,home_improvement,168,29.761904761904763
2015-06-01,E,major_purchase,52,36.53846153846153
2015-06-01,E,moving,32,28.125
2015-06-01,E,other,160,36.875
2015-06-01,E,small_business,54,29.629629629629626
